sample-id,absolute-filepath,direction
K42g,$PWD/fastq/NZprojK95DHD10_S157_L001_R1_001.fastq,forward
K42g,$PWD/fastq/NZprojK95DHD10_S157_L001_R2_001.fastq,reverse
K61g,$PWD/fastq/NZprojK95DHD11_S158_L001_R1_001.fastq,forward
K61g,$PWD/fastq/NZprojK95DHD11_S158_L001_R2_001.fastq,reverse
K41g,$PWD/fastq/NZprojK95DHD12_S159_L001_R1_001.fastq,forward
K41g,$PWD/fastq/NZprojK95DHD12_S159_L001_R2_001.fastq,reverse
K66g,$PWD/fastq/NZprojK95DHE03_S160_L001_R1_001.fastq,forward
K66g,$PWD/fastq/NZprojK95DHE03_S160_L001_R2_001.fastq,reverse
K54g,$PWD/fastq/NZprojK95DHE04_S161_L001_R1_001.fastq,forward
K54g,$PWD/fastq/NZprojK95DHE04_S161_L001_R2_001.fastq,reverse
# K19g replaced K39g
K19g,$PWD/fastq/NZprojK95DHE07_S162_L001_R1_001.fastq,forward
K19g,$PWD/fastq/NZprojK95DHE07_S162_L001_R2_001.fastq,reverse
# K39g replaced K58g
K39g,$PWD/fastq/NZprojK95DHE08_S163_L001_R1_001.fastq,forward
K39g,$PWD/fastq/NZprojK95DHE08_S163_L001_R2_001.fastq,reverse
# K58g replaced K19g
K58g,$PWD/fastq/NZprojK95DHE09_S164_L001_R1_001.fastq,forward
K58g,$PWD/fastq/NZprojK95DHE09_S164_L001_R2_001.fastq,reverse
K23g,$PWD/fastq/NZprojK95DHE10_S165_L001_R1_001.fastq,forward
K23g,$PWD/fastq/NZprojK95DHE10_S165_L001_R2_001.fastq,reverse
K52g,$PWD/fastq/NZprojK95DHE11_S166_L001_R1_001.fastq,forward
K52g,$PWD/fastq/NZprojK95DHE11_S166_L001_R2_001.fastq,reverse
K50g,$PWD/fastq/NZprojK95DHE12_S167_L001_R1_001.fastq,forward
K50g,$PWD/fastq/NZprojK95DHE12_S167_L001_R2_001.fastq,reverse
K17r,$PWD/fastq/NZprojK95DHF02_S168_L001_R1_001.fastq,forward
K17r,$PWD/fastq/NZprojK95DHF02_S168_L001_R2_001.fastq,reverse
K38g,$PWD/fastq/NZprojK95DHF03_S169_L001_R1_001.fastq,forward
K38g,$PWD/fastq/NZprojK95DHF03_S169_L001_R2_001.fastq,reverse
K27g,$PWD/fastq/NZprojK95DHF04_S170_L001_R1_001.fastq,forward
K27g,$PWD/fastq/NZprojK95DHF04_S170_L001_R2_001.fastq,reverse
# K48g replaced K66r
K48g,$PWD/fastq/NZprojK95DHF08_S171_L001_R1_001.fastq,forward
K48g,$PWD/fastq/NZprojK95DHF08_S171_L001_R2_001.fastq,reverse
# K66r replaced K54r
K66r,$PWD/fastq/NZprojK95DHF09_S172_L001_R1_001.fastq,forward
K66r,$PWD/fastq/NZprojK95DHF09_S172_L001_R2_001.fastq,reverse
K33g,$PWD/fastq/NZprojK95DHF10_S173_L001_R1_001.fastq,forward
K33g,$PWD/fastq/NZprojK95DHF10_S173_L001_R2_001.fastq,reverse
K43g,$PWD/fastq/NZprojK95DHF11_S174_L001_R1_001.fastq,forward
K43g,$PWD/fastq/NZprojK95DHF11_S174_L001_R2_001.fastq,reverse
K22g,$PWD/fastq/NZprojK95DHF12_S175_L001_R1_001.fastq,forward
K22g,$PWD/fastq/NZprojK95DHF12_S175_L001_R2_001.fastq,reverse
K8g,$PWD/fastq/NZprojK95DHG02_S176_L001_R1_001.fastq,forward
K8g,$PWD/fastq/NZprojK95DHG02_S176_L001_R2_001.fastq,reverse
K47g,$PWD/fastq/NZprojK95DHG03_S177_L001_R1_001.fastq,forward
K47g,$PWD/fastq/NZprojK95DHG03_S177_L001_R2_001.fastq,reverse
K36g,$PWD/fastq/NZprojK95DHG04_S178_L001_R1_001.fastq,forward
K36g,$PWD/fastq/NZprojK95DHG04_S178_L001_R2_001.fastq,reverse
K55g,$PWD/fastq/NZprojK95DHG05_S179_L001_R1_001.fastq,forward
K55g,$PWD/fastq/NZprojK95DHG05_S179_L001_R2_001.fastq,reverse
K11g,$PWD/fastq/NZprojK95DHG06_S180_L001_R1_001.fastq,forward
K11g,$PWD/fastq/NZprojK95DHG06_S180_L001_R2_001.fastq,reverse
# K57g replaced K56r
K57g,$PWD/fastq/NZprojK95DHG08_S181_L001_R1_001.fastq,forward
K57g,$PWD/fastq/NZprojK95DHG08_S181_L001_R2_001.fastq,reverse
# K56r replaced K45r
K56r,$PWD/fastq/NZprojK95DHG09_S182_L001_R1_001.fastq,forward
